record_id,status,signal_csv,n_samples,n_gt_beats,tp,fp,fn,precision_ppv,recall_sensitivity,f1,detection_error_rate,windows_processed,apply_causal_filter,error_message
200,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\200_mlii_125hz_record.csv,225694.0,2644.0,1266.0,12.0,1378.0,0.9906103286384976,0.47881996974281393,0.6455889852116267,0.5257186081694403,1307.0,False,
201,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\201_mlii_125hz_record.csv,225694.0,2004.0,767.0,37.0,1237.0,0.9539800995024875,0.38273453093812376,0.5462962962962964,0.6357285429141717,1193.0,False,
202,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\202_mlii_125hz_record.csv,225694.0,2138.0,869.0,8.0,1269.0,0.9908779931584949,0.40645463049579045,0.5764510779436153,0.5972871842843779,1229.0,False,
203,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\203_mlii_125hz_record.csv,225694.0,3063.0,1361.0,6.0,1702.0,0.9956108266276518,0.4443356186745021,0.6144469525959368,0.5576232451844597,1443.0,False,
205,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\205_mlii_125hz_record.csv,225694.0,2659.0,1300.0,3.0,1359.0,0.9976976208749041,0.4889056036103798,0.6562342251388188,0.5122226400902595,1318.0,False,
207,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\207_mlii_125hz_record.csv,225694.0,2361.0,282.0,27.0,2079.0,0.912621359223301,0.11944091486658195,0.21123595505617976,0.8919949174078781,1069.0,False,
208,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\208_mlii_125hz_record.csv,225694.0,2987.0,1473.0,0.0,1514.0,1.0,0.4931369266822899,0.6605381165919283,0.5068630733177101,1478.0,False,
209,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\209_mlii_125hz_record.csv,225694.0,3031.0,1503.0,0.0,1528.0,1.0,0.4958759485318377,0.662990736656374,0.5041240514681623,1503.0,False,
210,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\210_mlii_125hz_record.csv,225694.0,2668.0,1256.0,1.0,1412.0,0.9992044550517104,0.4707646176911544,0.6399999999999999,0.5296101949025487,1302.0,False,
212,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\212_mlii_125hz_record.csv,225694.0,2762.0,1374.0,0.0,1388.0,1.0,0.49746560463432293,0.6644100580270793,0.502534395365677,1374.0,False,
213,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\213_mlii_125hz_record.csv,225694.0,3251.0,1620.0,0.0,1631.0,1.0,0.49830821285758226,0.6651611578731267,0.5016917871424177,1622.0,False,
