record_id,status,signal_csv,n_samples,n_gt_beats,tp,fp,fn,precision_ppv,recall_sensitivity,f1,detection_error_rate,windows_processed,apply_causal_filter,error_message
124,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\124_mlii_125hz_record.csv,225694.0,1621.0,1615.0,6032.0,6.0,0.2111939322610174,0.9962985811227637,0.34851100561070353,3.7248611967921037,7650.0,False,
200,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\200_mlii_125hz_record.csv,225694.0,2644.0,2618.0,4650.0,26.0,0.36020913593835996,0.9901664145234493,0.5282485875706214,1.7685325264750378,7268.0,False,
201,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\201_mlii_125hz_record.csv,225694.0,2004.0,1979.0,6789.0,25.0,0.22570711678832117,0.9875249500998003,0.3674340883772744,3.400199600798403,8777.0,False,
202,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\202_mlii_125hz_record.csv,225694.0,2138.0,2133.0,8363.0,5.0,0.2032202743902439,0.9976613657623947,0.3376602817793256,3.913938260056127,10497.0,False,
203,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\203_mlii_125hz_record.csv,225694.0,3063.0,3036.0,9489.0,27.0,0.24239520958083832,0.9911851126346719,0.3895304080061586,3.1067580803134183,12528.0,False,
205,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\205_mlii_125hz_record.csv,225694.0,2659.0,2645.0,5613.0,14.0,0.32029547105836764,0.9947348627303497,0.48456535678299906,2.1162091011658517,8258.0,False,
207,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\207_mlii_125hz_record.csv,225694.0,2361.0,2341.0,8608.0,20.0,0.21380948031783725,0.9915290131300296,0.35176558978211875,3.65438373570521,10950.0,False,
208,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\208_mlii_125hz_record.csv,225694.0,2987.0,2865.0,7151.0,122.0,0.2860423322683706,0.9591563441580181,0.44066753826040145,2.434884499497824,10024.0,False,
209,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\209_mlii_125hz_record.csv,225694.0,3031.0,3018.0,3785.0,13.0,0.4436278112597383,0.9957109864731112,0.6137888956680903,1.2530517980864402,6803.0,False,
210,ok,C:\repos\ecg-dataset-single-lead\mit-bih\signals\record_minmax\210_mlii_125hz_record.csv,225694.0,2668.0,2649.0,9101.0,19.0,0.2254468085106383,0.9928785607196402,0.3674573449854349,3.4182908545727138,11750.0,False,
